"","year","state","expenditure","total_violent_crimes"
"1","2000-01","Andhra Pradesh",2.58,"11009"
"2","2000-01","Assam",5.28,"9628"
"3","2000-01","Bihar",7.01,"32358"
"4","2000-01","Gujarat",3.32,"7836"
"5","2000-01","Haryana",2.29,"4272"
"6","2000-01","Himachal Pradesh",5.78,"1227"
"7","2000-01","Jammu & Kashmir",5.19,"4106"
"8","2000-01","Jharkhand",NA,NA
"9","2000-01","Karnataka",3.22,"13521"
"10","2000-01","Kerala",3.63,"9785"
"11","2000-01","Madhya Pradesh",3.49,"20204"
"12","2000-01","Maharashtra",3.73,"17362"
"13","2000-01","Orissa",4.06,"7101"
"14","2000-01","Punjab",2.49,"2795"
"15","2000-01","Rajasthan",3.99,"26263"
"16","2000-01","Tamil Nadu",3,"12459"
"17","2000-01","Uttar Pradesh",3.4,"39278"
"18","2000-01","West Bengal",3.19,"10648"
"19","2001-02","Andhra Pradesh",2.47,"11491"
"20","2001-02","Assam",4.89,"8860"
"21","2001-02","Bihar",5.34,"23967"
"22","2001-02","Gujarat",2.64,"6924"
"23","2001-02","Haryana",2.26,"4026"
"24","2001-02","Himachal Pradesh",5.36,"1259"
"25","2001-02","Jammu & Kashmir",5.19,"5064"
"26","2001-02","Jharkhand",3.66,"7255"
"27","2001-02","Karnataka",3.11,"12346"
"28","2001-02","Kerala",3.2,"11552"
"29","2001-02","Madhya Pradesh",2.45,"16305"
"30","2001-02","Maharashtra",3.44,"18012"
"31","2001-02","Orissa",3.75,"6825"
"32","2001-02","Punjab",2.3,"2901"
"33","2001-02","Rajasthan",3.77,"20683"
"34","2001-02","Tamil Nadu",2.89,"12463"
"35","2001-02","Uttar Pradesh",3.2,"38173"
"36","2001-02","West Bengal",2.9,"9025"
"37","2002-03","Andhra Pradesh",2.43,"11607"
"38","2002-03","Assam",4.6,"9544"
"39","2002-03","Bihar",5.02,"24432"
"40","2002-03","Gujarat",2.57,"6914"
"41","2002-03","Haryana",2.01,"3482"
"42","2002-03","Himachal Pradesh",5.06,"1207"
"43","2002-03","Jammu & Kashmir",4.7,"4779"
"44","2002-03","Jharkhand",4.9,"8240"
"45","2002-03","Karnataka",2.95,"11196"
"46","2002-03","Kerala",3.44,"9848"
"47","2002-03","Madhya Pradesh",2.66,"14585"
"48","2002-03","Maharashtra",2.99,"16620"
"49","2002-03","Orissa",3.83,"6755"
"50","2002-03","Punjab",2.54,"2744"
"51","2002-03","Rajasthan",3.76,"12545"
"52","2002-03","Tamil Nadu",2.63,"10267"
"53","2002-03","Uttar Pradesh",2.97,"20092"
"54","2002-03","West Bengal",2.62,"8923"
"55","2003-04","Andhra Pradesh",2.47,"11607"
"56","2003-04","Assam",5,"9544"
"57","2003-04","Bihar",5.45,"24432"
"58","2003-04","Gujarat",2.2,"6914"
"59","2003-04","Haryana",1.86,"3482"
"60","2003-04","Himachal Pradesh",4.85,"1207"
"61","2003-04","Jammu & Kashmir",4.4,"4779"
"62","2003-04","Jharkhand",3.25,"8240"
"63","2003-04","Karnataka",2.88,"11196"
"64","2003-04","Kerala",3.2,"9848"
"65","2003-04","Madhya Pradesh",2.31,"14585"
"66","2003-04","Maharashtra",2.77,"16620"
"67","2003-04","Orissa",3.12,"6755"
"68","2003-04","Punjab",2.31,"2744"
"69","2003-04","Rajasthan",3.27,"12545"
"70","2003-04","Tamil Nadu",2.43,"10267"
"71","2003-04","Uttar Pradesh",2.78,"20092"
"72","2003-04","West Bengal",2.39,"8923"
"73","2004-05","Andhra Pradesh",3.5,"11956"
"74","2004-05","Assam",4.69,"9728"
"75","2004-05","Bihar",4.06,"28005"
"76","2004-05","Gujarat",1.97,"6637"
"77","2004-05","Haryana",1.75,"3534"
"78","2004-05","Himachal Pradesh",4.51,"1183"
"79","2004-05","Jammu & Kashmir",3.96,"4512"
"80","2004-05","Jharkhand",2.91,"8149"
"81","2004-05","Karnataka",2.62,"11900"
"82","2004-05","Kerala",2.75,"9642"
"83","2004-05","Madhya Pradesh",2.28,"14767"
"84","2004-05","Maharashtra",2.45,"17323"
"85","2004-05","Orissa",2.57,"6869"
"86","2004-05","Punjab",2.2,"2855"
"87","2004-05","Rajasthan",3.11,"11882"
"88","2004-05","Tamil Nadu",2.15,"9675"
"89","2004-05","Uttar Pradesh",2.83,"26962"
"90","2004-05","West Bengal",2.39,"9838"
"91","2005-06","Andhra Pradesh",3.64,"11616"
"92","2005-06","Assam",4.24,"8892"
"93","2005-06","Bihar",5.36,"24073"
"94","2005-06","Gujarat",1.76,"6259"
"95","2005-06","Haryana",1.83,"4153"
"96","2005-06","Himachal Pradesh",4.47,"1155"
"97","2005-06","Jammu & Kashmir",4.2,NA
"98","2005-06","Jharkhand",3.48,"8424"
"99","2005-06","Karnataka",2.5,"12206"
"100","2005-06","Kerala",2.56,"9422"
"101","2005-06","Madhya Pradesh",2.38,"14782"
"102","2005-06","Maharashtra",2.21,"18674"
"103","2005-06","Orissa",2.72,"7313"
"104","2005-06","Punjab",2.12,"2898"
"105","2005-06","Rajasthan",3.3,"10195"
"106","2005-06","Tamil Nadu",2.05,"8598"
"107","2005-06","Uttar Pradesh",3.11,"25352"
"108","2005-06","West Bengal",2.42,"10219"
"109","2006-07","Andhra Pradesh",3.51,"13135"
"110","2006-07","Assam",4.26,"8874"
"111","2006-07","Bihar",5.32,"24271"
"112","2006-07","Gujarat",1.76,"6319"
"113","2006-07","Haryana",1.81,"5051"
"114","2006-07","Himachal Pradesh",4.7,"1172"
"115","2006-07","Jammu & Kashmir",4.18,"3952"
"116","2006-07","Jharkhand",3.58,"8570"
"117","2006-07","Karnataka",2.53,"12635"
"118","2006-07","Kerala",2.57,"9492"
"119","2006-07","Madhya Pradesh",2.59,"14454"
"120","2006-07","Maharashtra",2.13,"19785"
"121","2006-07","Orissa",2.43,"7498"
"122","2006-07","Punjab",1.84,"3381"
"123","2006-07","Rajasthan",2.91,"9514"
"124","2006-07","Tamil Nadu",2.01,"7379"
"125","2006-07","Uttar Pradesh",3.27,"24851"
"126","2006-07","West Bengal",2.39,"10391"
"127","2007-08","Andhra Pradesh",3.17,"12429"
"128","2007-08","Assam",4.29,"9230"
"129","2007-08","Bihar",4.88,"23039"
"130","2007-08","Gujarat",1.74,"6699"
"131","2007-08","Haryana",1.87,"5355"
"132","2007-08","Himachal Pradesh",4.82,"1349"
"133","2007-08","Jammu & Kashmir",4.22,"3589"
"134","2007-08","Jharkhand",3.31,"8765"
"135","2007-08","Karnataka",2.56,"11989"
"136","2007-08","Kerala",2.61,"10558"
"137","2007-08","Madhya Pradesh",2.43,"15280"
"138","2007-08","Maharashtra",2.01,"20771"
"139","2007-08","Orissa",2.53,"8494"
"140","2007-08","Punjab",1.79,"3599"
"141","2007-08","Rajasthan",2.82,"10224"
"142","2007-08","Tamil Nadu",2.02,"9384"
"143","2007-08","Uttar Pradesh",3.22,"26693"
"144","2007-08","West Bengal",2.37,"12851"
"145","2008-09","Andhra Pradesh",3.05,"12275"
"146","2008-09","Assam",4.06,"9691"
"147","2008-09","Bihar",4.84,"23247"
"148","2008-09","Gujarat",1.65,"7116"
"149","2008-09","Haryana",2.16,"5671"
"150","2008-09","Himachal Pradesh",4.88,"1284"
"151","2008-09","Jammu & Kashmir",4.44,NA
"152","2008-09","Jharkhand",4.37,"8686"
"153","2008-09","Karnataka",2.8,"13128"
"154","2008-09","Kerala",2.68,"11363"
"155","2008-09","Madhya Pradesh",2.61,"15663"
"156","2008-09","Maharashtra",2.23,"22862"
"157","2008-09","Orissa",3.03,"10478"
"158","2008-09","Punjab",1.87,"3639"
"159","2008-09","Rajasthan",3.34,"10127"
"160","2008-09","Tamil Nadu",2.22,"10518"
"161","2008-09","Uttar Pradesh",3.11,"26921"
"162","2008-09","West Bengal",2.34,"16504"
"163","2009-10","Andhra Pradesh",3.1,"12107"
"164","2009-10","Assam",4.26,"9530"
"165","2009-10","Bihar",4.76,"23485"
"166","2009-10","Gujarat",1.93,"6779"
"167","2009-10","Haryana",2.38,"5964"
"168","2009-10","Himachal Pradesh",4.75,"1285"
"169","2009-10","Jammu & Kashmir",5.26,NA
"170","2009-10","Jharkhand",3.47,"8615"
"171","2009-10","Karnataka",2.6,"14059"
"172","2009-10","Kerala",2.6,"11492"
"173","2009-10","Madhya Pradesh",2.86,"15300"
"174","2009-10","Maharashtra",2.62,"21257"
"175","2009-10","Orissa",3.41,"8928"
"176","2009-10","Punjab",1.93,"3739"
"177","2009-10","Rajasthan",3.49,"10670"
"178","2009-10","Tamil Nadu",2.31,"10541"
"179","2009-10","Uttar Pradesh",3.19,"27414"
"180","2009-10","West Bengal",3.03,"19443"
"181","2010-11","Andhra Pradesh",3.94,"12491"
"182","2010-11","Assam",5.06,"10388"
"183","2010-11","Bihar",4.05,"24044"
"184","2010-11","Gujarat",2.19,"6899"
"185","2010-11","Haryana",2.29,"6635"
"186","2010-11","Himachal Pradesh",5.03,"1329"
"187","2010-11","Jammu & Kashmir",5.57,NA
"188","2010-11","Jharkhand",3.28,"8521"
"189","2010-11","Karnataka",2.73,"16474"
"190","2010-11","Kerala",2.63,"11756"
"191","2010-11","Madhya Pradesh",3.25,"15530"
"192","2010-11","Maharashtra",2.58,"22747"
"193","2010-11","Orissa",3.35,"9367"
"194","2010-11","Punjab",1.92,"4027"
"195","2010-11","Rajasthan",3.03,"10557"
"196","2010-11","Tamil Nadu",2.37,"12333"
"197","2010-11","Uttar Pradesh",3.61,"27225"
"198","2010-11","West Bengal",3.12,"20215"
"199","2011-12","Andhra Pradesh",3.97,"13367"
"200","2011-12","Assam",4.28,"11420"
"201","2011-12","Bihar",4.13,"26003"
"202","2011-12","Gujarat",2.03,"7221"
"203","2011-12","Haryana",2.14,"6533"
"204","2011-12","Himachal Pradesh",4.25,"1221"
"205","2011-12","Jammu & Kashmir",4.82,NA
"206","2011-12","Jharkhand",2.74,"7789"
"207","2011-12","Karnataka",2.07,"16272"
"208","2011-12","Kerala",2.61,"14698"
"209","2011-12","Madhya Pradesh",3.16,"15546"
"210","2011-12","Maharashtra",2.35,"23900"
"211","2011-12","Orissa",2.99,NA
"212","2011-12","Punjab",2.04,"3744"
"213","2011-12","Rajasthan",2.69,"10696"
"214","2011-12","Tamil Nadu",2.08,"13573"
"215","2011-12","Uttar Pradesh",3.63,"32987"
"216","2011-12","West Bengal",3.07,"20362"
"217","2012-13","Andhra Pradesh",4.05,"12431"
"218","2012-13","Assam",4.42,"16847"
"219","2012-13","Bihar",5.12,"29842"
"220","2012-13","Gujarat",1.94,"7652"
"221","2012-13","Haryana",2.06,"6950"
"222","2012-13","Himachal Pradesh",4.33,"1168"
"223","2012-13","Jammu & Kashmir",4.42,NA
"224","2012-13","Jharkhand",2.58,"8076"
"225","2012-13","Karnataka",2.15,"17016"
"226","2012-13","Kerala",2.59,"14902"
"227","2012-13","Madhya Pradesh",2.9,"15228"
"228","2012-13","Maharashtra",2.33,"26972"
"229","2012-13","Orissa",2.79,NA
"230","2012-13","Punjab",2.29,"4241"
"231","2012-13","Rajasthan",2.65,"10827"
"232","2012-13","Tamil Nadu",2.09,"13615"
"233","2012-13","Uttar Pradesh",3.66,"33824"
"234","2012-13","West Bengal",2.92,"22361"
"235","2013-14","Andhra Pradesh",4.03,"12864"
"236","2013-14","Assam",4.73,"13295"
